compound_name,atom_index,atom_symbol,atomic_number,degree,formal_charge,valence,hybridization,is_aromatic,is_in_ring,ring_size,num_hydrogens,neighbor_c,neighbor_n,neighbor_o,neighbor_halogen,aromatic_neighbors,single_bonds,double_bonds,triple_bonds,gasteiger_charge,mean_neighbor_charge,max_neighbor_charge,min_neighbor_charge,PC1_raw,PC2_raw,PC1_scaled,PC2_scaled,cluster,cluster_name
Carbamazepine,9,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0,-0.0013102602336453582,-0.015715896725619887,0.05792916270075077,-0.052873913152238446,3.2609456437198356,0.8046514748045901,2.4189700650303148,1.122382248301247,0,Aromatic Carbon
Carbamazepine,10,C,6,2,0,4,2,0,1,7,1,2,0,0,0,1,1,1,0,-0.05220293972537198,-0.02675659997950867,-0.0013102602336453582,-0.05220293972537198,3.5207333855649083,0.13512493639392886,0.4639671103366131,0.033323730337289574,0,Aromatic Carbon
Carbamazepine,11,C,6,2,0,4,2,0,1,7,1,2,0,0,0,1,1,1,0,-0.05220293972537198,-0.02675659997950867,-0.0013102602336453582,-0.05220293972537198,3.5207333855649083,0.13512493639392886,0.4639671103366131,0.033323730337289574,0,Aromatic Carbon
Carbamazepine,12,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0,-0.0013102602336453582,-0.015715896725619887,0.05792916270075077,-0.052873913152238446,3.2609456437198356,0.8046514748045901,2.4189700650303148,1.122382248301247,0,Aromatic Carbon
Carbamazepine,13,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.052873913152238446,-0.031414923293013874,-0.0013102602336453582,-0.06151958635238239,3.1526594953177445,-0.7112084890057035,1.9316688765301553,1.3994541797170355,0,Aromatic Carbon
Carbamazepine,14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.06151958635238239,-0.05650509771832739,-0.052873913152238446,-0.06013628228441632,3.153504187048435,-0.7101801252965187,2.0507597704460077,1.3007507775460343,0,Aromatic Carbon
Carbamazepine,15,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.06013628228441632,-0.04938279911434518,-0.03724601187630796,-0.06151958635238239,3.1532524951421457,-0.7104667333840045,2.0151620100655245,1.3302059922250837,0,Aromatic Carbon
Carbamazepine,16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.03724601187630796,-0.001103559791832777,0.05792916270075077,-0.06013628228441632,3.151694929668188,-0.7123352782231498,1.795891832655782,1.5104474890110666,0,Aromatic Carbon
Carbamazepine,17,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0,0.05792916270075077,-0.10021457277641899,-0.0013102602336453582,-0.26208744621930363,3.143021830199976,0.5687085560992289,2.988580924220087,-0.2978908656794651,7,Activated Aromatic/Heteroaromatic
Diclofenac,0,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,-0.25208280846981806,0.30739587692442316,0.30739587692442316,0.30739587692442316,-3.599762431143077,-2.024380102696364,-4.6688253252206104,1.9427290378766993,6,Carbonyl Oxygen
Diclofenac,1,C,6,3,0,4,2,0,0,0,0,1,0,2,0,0,2,1,0,0.30739587692442316,-0.22019307271377161,0.0724888039089945,-0.4809852135804913,-3.476788943236415,1.3422744858890514,-0.01415091391061582,-5.290385516499493,4,Carbonyl Carbon
Diclofenac,2,O,8,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,-0.4809852135804913,0.30739587692442316,0.30739587692442316,0.30739587692442316,-3.6936622508432024,-1.3069377724900195,-4.649363904444051,2.4817941933280894,2,Electron-Rich Heteroatom
Diclofenac,3,C,6,2,0,4,3,0,0,0,2,2,0,0,0,1,2,0,0,0.0724888039089945,0.1470186882994435,0.30739587692442316,-0.01335850032553616,-3.198777590297496,0.9559590492106693,-1.7899758550277478,-0.7215180062965982,5,Saturated Ring Atom
Diclofenac,4,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0,-0.01335850032553616,0.019467876210303485,0.0724888039089945,-0.05638184567644721,3.260276852410352,0.802172138938058,2.31549481915151,1.2399422793846357,0,Aromatic Carbon
Diclofenac,5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.05638184567644721,-0.03759263541323501,-0.01335850032553616,-0.06182677050093386,3.1528527651872165,-0.7109994354806926,1.9588916255101,1.3774697179633173,0,Aromatic Carbon
Diclofenac,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.06182677050093386,-0.05828177782918564,-0.05638184567644721,-0.06018170998192406,3.1535669675222766,-0.7100742655457166,2.0595624984709673,1.2930348908213107,0,Aromatic Carbon
Diclofenac,7,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.06018170998192406,-0.050070928366195505,-0.03831508623145714,-0.06182677050093386,3.1532772705638537,-0.7103970598302229,2.0185762733700563,1.3268521668983275,0,Aromatic Carbon
Diclofenac,8,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.03831508623145714,-0.008942519791780446,0.04229667039836317,-0.06018170998192406,3.1519749997431883,-0.7118607151269769,1.8351733318732861,1.4759380587993554,0,Aromatic Carbon
